URL,Clicks,Impressions,CTR%,Position,Expected_CTR%,CTR_Gap%,Potential_Additional_Clicks,Priority_Score,Prev_Clicks,Prev_Impressions,Prev_CTR%,Prev_Position,Click_Change,Position_Change
https://malna.co.jp/blog/loom/#%E5%9F%BA%E6%9C%AC%E7%9A%84%E3%81%AA%E4%BD%BF%E3%81%84%E6%96%B9,0,1832,0,5.1,5.16,5.16,95.0,11.3,0,1767,0,4.1,0,-1.0
https://malna.co.jp/blog/gemini_api_fees/,35,7211,0.49,9.7,1.79,1.3,94.0,11.2,41,11814,0.35,9.9,-6,0.2
https://malna.co.jp/marketing/,18,606,2.97,2.4,14.04,11.07,67.0,10.1,23,847,2.72,3.1,-5,0.7
https://malna.co.jp/company/,84,1055,7.96,2.5,13.45,5.49,58.0,8.7,80,1061,7.54,3,4,0.5
https://malna.co.jp/blog/ai_advertisement/#AI%E3%81%AB%E3%82%88%E3%82%8B%E5%BA%83%E5%91%8A%E5%88%B6%E4%BD%9C%E3%81%AE%E3%83%A1%E3%83%AA%E3%83%83%E3%83%885%E9%81%B8,0,783,0,4.5,6.35,6.35,50.0,7.5,0,1222,0,5.8,0,1.3
https://malna.co.jp/blog/sentence_generation_ai_prompt_example/,90,8001,1.12,9.4,1.88,0.76,61.0,7.3,99,5851,1.69,10.5,-9,1.1
https://malna.co.jp/blog/ai_video_generation/,12,3705,0.32,9.2,1.94,1.62,60.0,7.2,7,5296,0.13,5.6,5,-3.6
https://malna.co.jp/blog/instagram_insight/#%E3%81%AF%E3%81%98%E3%82%81%E3%81%AB,0,685,0,4.3,6.77,6.77,46.0,7.0,0,756,0,4.6,0,0.3
https://malna.co.jp/blog/ai_advertisement/#%E5%BA%83%E5%91%8A%E5%88%B6%E4%BD%9C%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8BAI%E3%81%AE%E6%B4%BB%E7%94%A8%E4%BA%8B%E4%BE%8B,0,658,0,4.2,6.98,6.98,46.0,6.9,0,1083,0,5.6,0,1.4
https://malna.co.jp/blog/instagram_insight/#Instagram%E3%81%AE%E3%82%A4%E3%83%B3%E3%82%B5%E3%82%A4%E3%83%88%E3%82%92PC%E3%81%8B%E3%82%89%E8%A6%8B%E3%82%89%E3%82%8C%E3%82%8B%E7%84%A1%E6%96%99%E5%88%86%E6%9E%90%E3%83%84%E3%83%BC%E3%83%AB,0,677,0,4.3,6.77,6.77,46.0,6.9,0,744,0,4.6,0,0.3
https://malna.co.jp/blog/instagram_insight/#PC%E3%83%96%E3%83%A9%E3%82%A6%E3%82%B6%E7%89%88Instagram%E3%81%A7%E3%81%AE%E3%82%A4%E3%83%B3%E3%82%B5%E3%82%A4%E3%83%88%E3%81%AE%E9%96%B2%E8%A6%A7%E5%88%B6%E9%99%90,0,581,0,4,7.4,7.4,43.0,6.4,1,632,0.16,4.3,-1,0.3
https://malna.co.jp/blog/snsadvertisement_successcase/#SNS%E5%BA%83%E5%91%8A%E3%82%92%E6%88%90%E5%8A%9F%E3%81%95%E3%81%9B%E3%82%8B%E3%81%9F%E3%82%81%E3%81%AE%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88,0,700,0,4.9,5.51,5.51,39.0,5.8,0,930,0,5,0,0.1
https://malna.co.jp/blog/chatgpt_code_interpreter/,9,1354,0.66,6,3.9,3.24,44.0,5.3,9,786,1.15,8.3,0,2.3
