Rank,URL,Clicks,Impressions,CTR%,Position,Expected_CTR%,CTR_Gap%,Potential_Additional_Clicks,Priority_Score
68,https://jo-katsu.com/campus/4931/,110,5554,1.98,3.7,7.0,+5.02,278,279
69,https://jo-katsu.com/campus/12480/,89,5154,1.73,4.2,7.0,+5.27,271,272
70,https://jo-katsu.com/campus/10457/,107,5374,1.99,4.2,7.0,+5.01,269,269
71,https://jo-katsu.com/campus/23976/,20,5778,0.35,5.2,5.0,+4.65,268,269
72,https://jo-katsu.com/campus/11518/,182,9002,2.02,4.7,5.0,+2.98,268,268
73,https://jo-katsu.com/campus/32088,70,4814,1.45,3.7,7.0,+5.55,266,267
74,https://jo-katsu.com/campus/37246,100,5063,1.98,3.7,7.0,+5.02,254,254
75,https://jo-katsu.com/campus/36888,62,3122,1.99,3.4,10.0,+8.01,250,250
76,https://jo-katsu.com/campus/12328/,5,3608,0.14,3.5,7.0,+6.86,247,248
77,https://jo-katsu.com/campus/4992/,108,8788,1.23,5.8,4.0,+2.77,243,243
78,https://jo-katsu.com/campus/6271/,2586,40436,6.40,4.1,7.0,+0.60,244,243
79,https://jo-katsu.com/campus/37220,127,3625,3.50,3.2,10.0,+6.50,235,236
80,https://jo-katsu.com/campus/6106/,418,9279,4.50,4.5,7.0,+2.50,231,232
81,https://jo-katsu.com/campus/24430/,37,3822,0.97,3.6,7.0,+6.03,230,230
82,https://jo-katsu.com/campus/26697/,74,3021,2.45,3.4,10.0,+7.55,228,228
83,https://jo-katsu.com/campus/26692/,281,10164,2.76,4.9,5.0,+2.24,227,228
84,https://jo-katsu.com/campus/9346/,3,3294,0.09,4.5,7.0,+6.91,227,228
85,https://jo-katsu.com/campus/25766/,63,4140,1.52,4.0,7.0,+5.48,226,227
86,https://jo-katsu.com/campus/11487/,196,6029,3.25,4.2,7.0,+3.75,226,226
87,https://jo-katsu.com/campus/22221/,6,2321,0.26,3.1,10.0,+9.74,226,226
88,https://jo-katsu.com/campus/25695/,51,10902,0.47,7.7,2.5,+2.03,221,221
89,https://jo-katsu.com/campus/20317/,17,5848,0.29,5.7,4.0,+3.71,216,217
90,https://jo-katsu.com/campus/5308/,11,4452,0.25,5.1,5.0,+4.75,211,211
91,https://jo-katsu.com/campus/20726/,38,3550,1.07,4.2,7.0,+5.93,210,211
92,https://jo-katsu.com/campus/37257,538,7471,7.20,3.4,10.0,+2.80,209,209
